osmid,y,x,street_count,highway,ref,geometry,lts,message
6368962872,44.477739,11.397289,3,,,POINT (11.397289 44.477739),2.0,Node LTS is max intersecting LTS
6368962879,44.4784907,11.3976914,1,,,POINT (11.3976914 44.4784907),2.0,Node LTS is max intersecting LTS
6368962880,44.4761743,11.3961803,3,,,POINT (11.3961803 44.4761743),2.0,Node LTS is max intersecting LTS
6368962884,44.4765303,11.3955176,1,,,POINT (11.3955176 44.4765303),2.0,Node LTS is max intersecting LTS
6368963285,44.4740178,11.3965905,3,,,POINT (11.3965905 44.4740178),3.0,Node LTS is max intersecting LTS
6368963286,44.4742593,11.3960034,1,,,POINT (11.3960034 44.4742593),,Node not found in edges
6369004898,44.5367014,11.3505997,3,,,POINT (11.3505997 44.5367014),3.0,Node LTS is max intersecting LTS
6369004902,44.5369806,11.3495215,1,,,POINT (11.3495215 44.5369806),,Node not found in edges
6369004917,44.5368602,11.3476136,3,,,POINT (11.3476136 44.5368602),,Node not found in edges
6369055041,44.5323746,11.3577181,3,,,POINT (11.3577181 44.5323746),3.0,Node LTS is max intersecting LTS
6369055045,44.5325834,11.3568047,1,,,POINT (11.3568047 44.5325834),,Node not found in edges
6369055047,44.5321181,11.3590193,3,,,POINT (11.3590193 44.5321181),2.0,Node LTS is max intersecting LTS
6369055054,44.5315828,11.3596306,1,,,POINT (11.3596306 44.5315828),,Node not found in edges
